amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;stim_id;stim_pos;stim_freq;stim_elec;stim_time;stim_attended;con_validity;con_pos_attention;con_pos_targ;con_val_pos_att
6.02555179595947;1.59228789806366;-3.76221888342985;-26.9194700765533;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[500 1500] ;stim_attended;valid;left;left;valid_left
4.90970039367676;1.40309798717499;-1.99883994451379;3.90130909036339;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[500 1500] ;stim_attended;valid;right;right;valid_right
6.1563515663147;1.44492661952972;-5.88674850680158;-23.382335195595;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[500 1500] ;stim_attended;valid;right;right;valid_right
4.84691190719604;1.56679201126099;-4.1876873766022;18.3436148924614;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[500 1500] ;stim_attended;invalid;right;left;invalid_right
6.43868112564087;1.62738919258118;1.15016810177992;-0.534387419512927;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[500 1500] ;stim_attended;invalid;right;left;invalid_right
5.08238220214844;1.22998905181885;-0.653410547292621;-5.52796965217955;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[500 1500] ;stim_attended;invalid;left;right;invalid_left
6.56222581863403;1.5556343793869;-0.0903848324813272;11.9612058610754;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[500 1500] ;stim_attended;invalid;left;right;invalid_left
5.22748517990112;1.4395524263382;2.84412528470663;27.5574113616954;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[500 1500] ;both_attended;neutral;both;left;neutral_both
6.87324190139771;1.28493654727936;10.5149426989975;-18.3678135518244;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[500 1500] ;both_attended;neutral;both;left;neutral_both
4.98867845535278;1.465900182724;-0.0892720290048166;23.0579108200911;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[500 1500] ;both_attended;neutral;both;right;neutral_both
6.65347814559937;1.57995760440826;9.24458271283106;2.99259232320181;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[500 1500] ;both_attended;neutral;both;right;neutral_both
4.67028999328613;1.19257760047913;-4.1617202987978;-10.0068178111561;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1000 2000] ;stim_attended;valid;left;left;valid_left
6.26277828216553;1.9420268535614;0.0266707365814689;-10.8676566866949;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1000 2000] ;stim_attended;valid;left;left;valid_left
4.83892917633057;1.0698504447937;-3.41148447316939;-20.7761234346993;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1000 2000] ;stim_attended;valid;right;right;valid_right
6.65353870391846;1.59590554237366;1.71384051357117;-15.3766327975372;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1000 2000] ;stim_attended;valid;right;right;valid_right
4.99134588241577;1.13278496265411;-1.33255952361876;-14.4379940586899;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1000 2000] ;stim_attended;invalid;right;left;invalid_right
6.51965951919556;1.87247931957245;2.42231964350632;14.4454586614056;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1000 2000] ;stim_attended;invalid;right;left;invalid_right
4.95067596435547;1.48824501037598;-3.22790514725552;14.3079506092537;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1000 2000] ;stim_attended;invalid;left;right;invalid_left
6.58094310760498;1.62912774085999;0.1945851136544;17.2506270016349;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1000 2000] ;stim_attended;invalid;left;right;invalid_left
4.96570777893066;1.00134921073914;-2.30601228538592;-11.2713709803068;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1000 2000] ;both_attended;neutral;both;left;neutral_both
6.19283199310303;1.39105021953583;-0.425376746434103;-11.6263981125315;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1000 2000] ;both_attended;neutral;both;left;neutral_both
4.66539764404297;1.06766319274902;-6.56377654680168;-10.3728865664926;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1000 2000] ;both_attended;neutral;both;right;neutral_both
6.05529260635376;1.20437753200531;-0.577126803560413;-21.4903211257344;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1000 2000] ;both_attended;neutral;both;right;neutral_both
4.66765546798706;1.2956371307373;-4.21578297431803;-2.22983534972565;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1500 2500] ;stim_attended;valid;left;left;valid_left
6.074951171875;1.78303897380829;-2.97323117116063;-18.1646527374042;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1500 2500] ;stim_attended;valid;left;left;valid_left
5.15453672409058;1.96772456169128;2.88826975268583;45.7126727839059;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1500 2500] ;stim_attended;valid;right;right;valid_right
6.63777637481689;2.34883546829224;1.47287895917088;24.547701009816;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1500 2500] ;stim_attended;valid;right;right;valid_right
5.42115783691406;1.6216778755188;7.1638353236908;22.4892778369252;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1500 2500] ;stim_attended;invalid;right;left;invalid_right
6.33127498626709;2.16915822029114;-0.537157119150267;32.5783974410257;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1500 2500] ;stim_attended;invalid;right;left;invalid_right
4.97909641265869;1.48861145973206;-2.67236357298183;14.3360965627784;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1500 2500] ;stim_attended;invalid;left;right;invalid_left
6.29324388504028;1.66810739040375;-4.18562358456082;20.0560474942585;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1500 2500] ;stim_attended;invalid;left;right;invalid_left
5.36033582687378;1.76121079921722;5.4577928726975;56.0592627959166;1;SSVEP1;left;24;'POz','PO4','P6','Oz','O2','PO8','P8','Iz','I2','P10';[1500 2500] ;both_attended;neutral;both;left;neutral_both
6.35387325286865;2.02977538108826;2.16400768823175;28.9518947124239;1;SSVEP2;right;21.8182;'POz','PO3','P5','Oz','O1','PO7','P7','Iz','I1','P9';[1500 2500] ;both_attended;neutral;both;left;neutral_both
