amplitude_induced;amplitude_evoked;modulation_induced;modulation_evoked;subjects;stim_id;stim_pos;stim_freq;stim_elec;stim_time;stim_attended;con_validity;con_pos_attention;con_pos_targ;con_val_pos_att
4.70272350311279;2.63787961006165;-5.88516078867575;1.18977729882233;1;SSVEP1;left;24;'RESS1';[500 1500] ;stim_attended;invalid;left;right;invalid_left
5.89831018447876;4.00286245346069;0.81357287049395;-3.6569035236696;1;SSVEP2;right;21.8182;'RESS2';[500 1500] ;stim_unattended;invalid;left;right;invalid_left
4.85176229476929;2.52087378501892;-2.90247173546722;-3.29859788463102;1;SSVEP1;left;24;'RESS1';[1000 2000] ;stim_attended;invalid;left;right;invalid_left
4.96156978607178;3.5762722492218;-15.197139259235;-13.9243113301289;1;SSVEP2;right;21.8182;'RESS2';[1000 2000] ;stim_unattended;invalid;left;right;invalid_left
4.28368711471558;2.23036241531372;-14.271267752352;-14.4426928202441;1;SSVEP1;left;24;'RESS1';[1500 2500] ;stim_attended;invalid;left;right;invalid_left
4.50054979324341;3.24203109741211;-23.0768660264132;-21.9690113190882;1;SSVEP2;right;21.8182;'RESS2';[1500 2500] ;stim_unattended;invalid;left;right;invalid_left
4.84379291534424;3.41185998916626;0;0;1;SSVEP1;left;24;'RESS1';[-1000 0] ;both_attended;neutral;both;left;neutral_both
4.83291912078857;3.5188159942627;0;0;1;SSVEP2;right;21.8182;'RESS2';[-1000 0] ;both_attended;neutral;both;left;neutral_both
5.35036897659302;4.34284496307373;10.4582518307924;27.2867285546196;1;SSVEP1;left;24;'RESS1';[0 1000] ;both_attended;neutral;both;left;neutral_both
5.30826616287231;4.2678370475769;9.83560929126783;21.286167123699;1;SSVEP2;right;21.8182;'RESS2';[0 1000] ;both_attended;neutral;both;left;neutral_both
5.11439418792725;3.57964730262756;5.58655742126781;4.91776667255051;1;SSVEP1;left;24;'RESS1';[500 1500] ;both_attended;neutral;both;left;neutral_both
4.98910903930664;3.67600584030151;3.23179251740884;4.46712321119123;1;SSVEP2;right;21.8182;'RESS2';[500 1500] ;both_attended;neutral;both;left;neutral_both
4.79956865310669;2.73021459579468;-0.913008937633453;-19.978703567439;1;SSVEP1;left;24;'RESS1';[1000 2000] ;both_attended;neutral;both;left;neutral_both
4.95391035079956;2.50963973999023;2.50348137403227;-28.6794267139256;1;SSVEP2;right;21.8182;'RESS2';[1000 2000] ;both_attended;neutral;both;left;neutral_both
3.88160538673401;2.0114529132843;-19.8643407227877;-41.0452679866318;1;SSVEP1;left;24;'RESS1';[1500 2500] ;both_attended;neutral;both;left;neutral_both
5.03428888320923;3.7393205165863;4.16662802310248;6.26644083359666;1;SSVEP2;right;21.8182;'RESS2';[1500 2500] ;both_attended;neutral;both;left;neutral_both
5.12700939178467;2.57550454139709;0;0;1;SSVEP1;left;24;'RESS1';[-1000 0] ;both_attended;neutral;both;right;neutral_both
5.76602649688721;4.28740072250366;0;0;1;SSVEP2;right;21.8182;'RESS2';[-1000 0] ;both_attended;neutral;both;right;neutral_both
5.42425441741943;3.36129403114319;5.79762982511911;30.5101185851468;1;SSVEP1;left;24;'RESS1';[0 1000] ;both_attended;neutral;both;right;neutral_both
5.56005430221558;3.29778146743774;-3.57216871588824;-23.0820331272422;1;SSVEP2;right;21.8182;'RESS2';[0 1000] ;both_attended;neutral;both;right;neutral_both
4.97184801101685;3.27041983604431;-3.02635257537166;26.981714979631;1;SSVEP1;left;24;'RESS1';[500 1500] ;both_attended;neutral;both;right;neutral_both
6.16054916381836;3.8276960849762;6.84219309682561;-10.7222223272617;1;SSVEP2;right;21.8182;'RESS2';[500 1500] ;both_attended;neutral;both;right;neutral_both
4.64979648590088;3.30053305625916;-9.30782195656706;28.1509313304789;1;SSVEP1;left;24;'RESS1';[1000 2000] ;both_attended;neutral;both;right;neutral_both
4.59047269821167;2.93417763710022;-20.3875892577004;-31.5627853095387;1;SSVEP2;right;21.8182;'RESS2';[1000 2000] ;both_attended;neutral;both;right;neutral_both
4.35197114944458;2.74997329711914;-15.1167704818716;6.77415834131687;1;SSVEP1;left;24;'RESS1';[1500 2500] ;both_attended;neutral;both;right;neutral_both
4.56890964508057;2.1914267539978;-20.761556549435;-48.8868222068568;1;SSVEP2;right;21.8182;'RESS2';[1500 2500] ;both_attended;neutral;both;right;neutral_both
3.2189359664917;1.76059937477112;0;0;2;SSVEP1;left;24;'RESS1';[-1000 0] ;stim_attended;valid;left;left;valid_left
